Neighbourhood,Neigh_num,Pop2016
Agincourt North,129,29113
Agincourt South-Malvern West,128,23757
Alderwood,20,12054
Annex,95,30526
Banbury-Don Mills,42,27695
Bathurst Manor,34,15873
Bay Street Corridor,76,25797
Bayview Village,52,21396
Bayview Woods-Steeles,49,13154
Bedford Park-Nortown,39,23236
Beechborough-Greenbrook,112,6577
Bendale,127,29960
Birchcliffe-Cliffside,122,22291
Black Creek,24,21737
Blake-Jones,69,7727
Briar Hill-Belgravia,108,14257
Bridle Path-Sunnybrook-York Mills,41,9266
Broadview North,57,11499
Brookhaven-Amesbury,30,17757
Cabbagetown-South St. James Town,71,11669
Caledonia-Fairbank,109,9955
Casa Loma,96,10968
Centennial Scarborough,133,13362
Church-Yonge Corridor,75,31340
Clairlea-Birchmount,120,26984
Clanton Park,33,16472
Cliffcrest,123,15935
Corso Italia-Davenport,92,14133
Danforth,66,9666
Danforth East York,59,17180
Don Valley Village,47,27051
Dorset Park,126,25003
Dovercourt-Wallace Emerson-Junction,93,36625
Downsview-Roding-CFB,26,35052
Dufferin Grove,83,11785
East End-Danforth,62,21381
Edenbridge-Humber Valley,9,15535
Eglinton East,138,22776
Elms-Old Rexdale,5,9456
Englemount-Lawrence,32,22372
Eringate-Centennial-West Deane,11,18588
Etobicoke West Mall,13,11848
Flemingdon Park,44,21933
Forest Hill North,102,12806
Forest Hill South,101,10732
Glenfield-Jane Heights,25,30491
Greenwood-Coxwell,65,14417
Guildwood,140,9917
Henry Farm,53,15723
High Park North,88,22162
High Park-Swansea,87,23925
Highland Creek,134,12494
Hillcrest Village,48,16934
Humber Heights-Westmount,8,10948
Humber Summit,21,12416
Humbermede,22,15545
Humewood-Cedarvale,106,14365
Ionview,125,13641
Islington-City Centre West,14,43965
Junction Area,90,14366
Keelesdale-Eglinton West,110,11058
Kennedy Park,124,17123
Kensington-Chinatown,78,17945
Kingsview Village-The Westway,6,22000
Kingsway South,15,9271
Lambton Baby Point,114,7985
L'Amoreaux,117,43993
Lansing-Westgate,38,16164
Lawrence Park North,105,14607
Lawrence Park South,103,15179
Leaside-Bennington,56,16828
Little Portugal,84,15559
Long Branch,19,10084
Malvern,132,43794
Maple Leaf,29,10111
Markland Wood,12,10554
Milliken,130,26572
Mimico (includes Humber Bay Shores),17,33964
Morningside,135,17455
Moss Park,73,20506
Mount Dennis,115,13593
Mount Olive-Silverstone-Jamestown,2,32954
Mount Pleasant East,99,16775
Mount Pleasant West,104,29658
New Toronto,18,11463
Newtonbrook East,50,16097
Newtonbrook West,36,23831
Niagara,82,31180
North Riverdale,68,11916
North St. James Town,74,18615
Oakridge,121,13845
Oakwood Village,107,21210
O'Connor-Parkview,54,18675
Old East York,58,9233
Palmerston-Little Italy,80,13826
Parkwoods-Donalda,45,34805
Pelmo Park-Humberlea,23,10722
Playter Estates-Danforth,67,7804
Pleasant View,46,15818
Princess-Rosethorn,10,11051
Regent Park,72,10803
Rexdale-Kipling,4,10529
Rockcliffe-Smythe,111,22246
Roncesvalles,86,14974
Rosedale-Moore Park,98,20923
Rouge,131,46496
Runnymede-Bloor West Village,89,10070
Rustic,28,9941
Scarborough Village,139,16724
South Parkdale,85,21849
South Riverdale,70,27876
St.Andrew-Windfields,40,17812
Steeles,116,24623
Stonegate-Queensway,16,25051
Tam O'Shanter-Sullivan,118,27446
Taylor-Massey,61,15683
The Beaches,63,21567
Thistletown-Beaumond Heights,3,10360
Thorncliffe Park,55,21108
Trinity-Bellwoods,81,16556
University,79,7607
Victoria Village,43,17510
Waterfront Communities-The Island,77,65913
West Hill,136,27392
West Humber-Clairville,1,33312
Westminster-Branson,35,26274
Weston,113,17992
Weston-Pelham Park,91,11098
Wexford/Maryvale,119,27917
Willowdale East,51,50434
Willowdale West,37,16936
Willowridge-Martingrove-Richview,7,22156
Woburn,137,53485
Woodbine Corridor,64,12541
Woodbine-Lumsden,60,7865
Wychwood,94,14349
Yonge-Eglinton,100,11817
Yonge-St.Clair,97,12528
York University Heights,27,27593
Yorkdale-Glen Park,31,14804
