Name,Latitude,Longitude
"Kuala Lumpur, Malaysia ",3.171454,101.681945
Singapore ,1.350124,103.865068
"Bangkok, Thailand ",13.737378,100.572393
"Ho Chi Minh, Vietnam ",10.816848,106.63208
"Hanoi, Vietnam ",20.991377,105.847001
"Shanghai, China",31.10613,121.511724
"Beijing, China",39.772538,116.355081
"New Delhi, India ",28.6523,77.176712
"Mumbai, India",19.092268,72.849126
"Ulaanbaatar, Mongolia",47.824521,106.834703
"Seoul, South Korea",37.588139,126.980803
"Busan, South Korea ",35.158626,129.070335
"Tokyo, Japan ",35.65903,139.804928
"Hiroshima, Japan",34.466544,132.390183
